name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
RPL5_exon4	11	1.3316	0.2075	1.3968	1.0349	1.7245	1.3968	0.2075
RPL5_exon5	11	1.0975	0.0835	1.0771	0.9933	1.251	1.0771	0.0835
RPL5_exon6	11	0.9028	0.0942	0.9046	0.7148	1.0504	0.9046	0.0942
RPL5_exon7	11	0.7271	0.1312	0.6614	0.5645	0.9333	0.6614	0.1312
RPL5_exon8	11	1.0142	0.0882	1.0346	0.8722	1.146	1.0346	0.0882
RPL5_exon9	11	1.2739	0.0929	1.2604	1.1473	1.4959	1.2604	0.0929
SAMHD1_exon1	11	1.1657	0.0925	1.1821	0.9795	1.2897	1.1821	0.0925
SAMHD1_exon10	11	0.757	0.0894	0.754	0.5964	0.9186	0.754	0.0894
SAMHD1_exon11	11	1.3534	0.0552	1.3575	1.2525	1.4273	1.3575	0.0552
SAMHD1_exon12	11	1.3233	0.0906	1.3261	1.1213	1.4981	1.3261	0.0906
SAMHD1_exon13	11	1.2453	0.1004	1.2177	1.0926	1.425	1.2177	0.1004
SAMHD1_exon14	11	1.3744	0.1907	1.3292	1.2094	1.6953	1.3292	0.1907
SAMHD1_exon15	11	0.3488	0.113	0.3262	0.2101	0.5455	0.3262	0.113
SAMHD1_exon2	11	1.3033	0.0864	1.3212	1.1792	1.4471	1.3212	0.0864
SAMHD1_exon3	11	1.4792	0.1577	1.443	1.2299	1.7133	1.443	0.1577
SAMHD1_exon4	11	1.081	0.076	1.0884	0.9616	1.2228	1.0884	0.076
SAMHD1_exon5	11	1.2998	0.0641	1.2986	1.1897	1.3812	1.2986	0.0641
SAMHD1_exon6	11	1.1538	0.0856	1.1634	0.9893	1.2721	1.1634	0.0856
SAMHD1_exon7	11	1.3798	0.1684	1.2914	1.2607	1.8435	1.2914	0.1684
SAMHD1_exon8	11	1.1861	0.075	1.158	1.0916	1.3406	1.158	0.075
SAMHD1_exon9	11	1.2564	0.0756	1.2233	1.1752	1.3983	1.2233	0.0756
SETD2_exon1	11	1.3909	0.0819	1.3755	1.2636	1.5158	1.3755	0.0819
SETD2_exon10	11	1.0753	0.0553	1.0688	1.0088	1.1653	1.0688	0.0553
SETD2_exon11	11	1.2965	0.0558	1.2852	1.1985	1.3776	1.2852	0.0558
SETD2_exon12	11	0.9522	0.0849	0.9483	0.8625	1.1394	0.9483	0.0849
SETD2_exon13	11	0.8498	0.1342	0.8347	0.6006	1.1591	0.8347	0.1342
SETD2_exon14	11	1.245	0.128	1.2482	0.9458	1.4449	1.2482	0.128
SETD2_exon15	11	1.1795	0.0769	1.1755	1.0545	1.2974	1.1755	0.0769
SETD2_exon16	11	1.2478	0.1303	1.2451	1.0386	1.4881	1.2451	0.1303
SETD2_exon17	11	1.1237	0.118	1.0768	0.9247	1.3369	1.0768	0.118
SETD2_exon18	11	1.2985	0.0934	1.3197	1.0952	1.4444	1.3197	0.0934
SETD2_exon19	11	1.2832	0.1154	1.3208	1.0657	1.4685	1.3208	0.1154
SETD2_exon2	11	0.7384	0.0771	0.7516	0.5997	0.8766	0.7516	0.0771
SETD2_exon20	11	1.2302	0.1798	1.2511	0.9671	1.5217	1.2511	0.1798
SETD2_exon21	11	1.3884	0.0754	1.3919	1.3071	1.5559	1.3919	0.0754
SETD2_exon22	11	1.5064	0.1326	1.5175	1.2491	1.7716	1.5175	0.1326
SETD2_exon23	11	1.3732	0.1006	1.3439	1.2402	1.5812	1.3439	0.1006
SETD2_exon24	11	1.1357	0.0701	1.1381	1.0411	1.2659	1.1381	0.0701
SETD2_exon25	11	1.1822	0.2633	1.2934	0.8024	1.5412	1.2934	0.2633
SETD2_exon26	11	0.1561	0.0744	0.1164	0.0801	0.2729	0.1164	0.0744
